what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264152268640
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264152311390
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264152316484
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264152316640
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1264152316640
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264152321562
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264152321718
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264152325562
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264152330484
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264152335015
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264152341562
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1264152341812
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1264152342093
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264152370812
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264152395125
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264152397078
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264152397203
started,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080603,org.eclipse.pde.api.tools.ui,1264152425328
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1264152425359
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1264152456875
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1264152626359
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1264152687125
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1264152770078
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1264152782609
executed,command,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1264152791859
