what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151284296
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151302046
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151304453
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1264151338500
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151341375
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151341734
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151349343
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151350453
executed,command,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.edit.text.java.create.getter.setter,1264151350468
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151358046
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151360546
executed,command,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.edit.text.java.create.getter.setter,1264151360812
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1264151362296
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.undo,1264151366578
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.cut,1264151369296
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1264151375390
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151379890
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151441843
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1264151443375
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1264151462062
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151469437
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151498546
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1264151499625
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1264151502328
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151508140
