what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1264150412015
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150413343
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150437203
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150438750
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150551890
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1264150555171
opened,editor,org.eclipse.wst.xml.ui,1.0.400.v200806051910,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1264150556343
activated,editor,org.eclipse.wst.xml.ui,1.0.400.v200806051910,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1264150556515
activated,view,org.eclipse.mylyn.tasks.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.ui.views.tasks,1264150560031
activated,editor,org.eclipse.wst.xml.ui,1.0.400.v200806051910,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1264150567531
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1264150606609
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.cut,1264150662468
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1264150663796
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1264150665796
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1264150678093
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150881109
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264150984375
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1264150989750
started,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1264150990046
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1264151002437
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1264151052171
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1264151110578
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151119468
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1264151123609
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1264151126390
